Delivery_person_Age,Delivery_person_Ratings,Vehicle_condition,multiple_deliveries,Time_taken(min),Order_Pickup_Time,Delivery_Distance (m),Ordered_month,Ordered_year,Ordered_time (mins),Weatherconditions_Fog,Weatherconditions_Sandstorms,Weatherconditions_Stormy,Weatherconditions_Sunny,Weatherconditions_Windy,Road_traffic_density_Jam ,Road_traffic_density_Low ,Road_traffic_density_Medium ,Type_of_order_Drinks ,Type_of_order_Meal ,Type_of_order_Snack ,Type_of_vehicle_motorcycle ,Type_of_vehicle_scooter ,Festival_Yes ,City_Semi-Urban ,City_Urban 
37.0,4.9,2.0,0.0,24,15.0,3025.149285677504,3,2022,690,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
34.0,4.5,2.0,1.0,33,5.0,20183.529728733618,3,2022,1185,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
23.0,4.4,0.0,1.0,26,15.0,1552.7578022548726,3,2022,510,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
38.0,4.7,0.0,1.0,21,10.0,7790.401360105751,4,2022,1080,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
32.0,4.6,1.0,1.0,30,15.0,6210.137965624099,3,2022,810,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
22.0,4.8,0.0,1.0,26,10.0,4610.365144357058,3,2022,1280,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
33.0,4.7,1.0,1.0,40,15.0,16600.361127912656,3,2022,1155,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
35.0,4.6,2.0,1.0,32,5.0,20205.253235292912,3,2022,1045,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
22.0,4.8,0.0,1.0,34,10.0,19975.520086221444,3,2022,1255,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
36.0,4.2,2.0,3.0,46,15.0,10280.582064621874,2,2022,1315,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
