Delivery_person_Age,Delivery_person_Ratings,Weatherconditions,Road_traffic_density,Vehicle_condition,multiple_deliveries,Festival,Time_taken(min),Delivery_Distance (m),Ordered_time (mins)
37.0,4.9,Sunny,High ,2.0,0.0,No ,24,3025.149285677504,690
34.0,4.5,Stormy,Jam ,2.0,1.0,No ,33,20183.529728733618,1185
23.0,4.4,Sandstorms,Low ,0.0,1.0,No ,26,1552.7578022548726,510
38.0,4.7,Sunny,Medium ,0.0,1.0,No ,21,7790.401360105751,1080
32.0,4.6,Cloudy,High ,1.0,1.0,No ,30,6210.137965624099,810
22.0,4.8,Cloudy,Jam ,0.0,1.0,No ,26,4610.365144357058,1280
33.0,4.7,Fog,Jam ,1.0,1.0,No ,40,16600.361127912656,1155
35.0,4.6,Cloudy,Medium ,2.0,1.0,No ,32,20205.253235292912,1045
22.0,4.8,Stormy,Jam ,0.0,1.0,No ,34,19975.520086221444,1255
36.0,4.2,Fog,Jam ,2.0,3.0,No ,46,10280.582064621874,1315
21.0,4.7,Stormy,High ,1.0,1.0,No ,23,6242.318682701243,895
23.0,4.7,Sandstorms,Medium ,1.0,1.0,No ,21,13787.860239172547,1050
34.0,4.3,Sandstorms,Low ,0.0,0.0,No ,20,2930.2578007621214,560
24.0,4.7,Fog,Jam ,1.0,1.0,No ,41,19396.61829066159,1190
29.0,4.5,Sandstorms,Jam ,2.0,1.0,No ,20,13763.977224427641,1225
35.0,4.0,Windy,High ,1.0,1.0,No ,33,6218.00119018663,895
33.0,4.2,Sandstorms,Jam ,2.0,1.0,No ,40,16849.93991801649,1230
21.0,4.7,Windy,Jam ,0.0,1.0,No ,15,4540.574388731295,1275
25.0,4.1,Sandstorms,Jam ,0.0,2.0,No ,36,12256.076445468296,1220
31.0,4.7,Sandstorms,Low ,2.0,0.0,No ,26,19618.739348801017,1350
37.0,5.0,Sandstorms,Low ,1.0,1.0,No ,20,1558.1322655568651,495
33.0,4.3,Windy,Jam ,2.0,1.0,No ,39,20180.635114114713,1170
25.0,4.0,Cloudy,High ,1.0,1.0,No ,34,6116.971669682334,745
29.0,4.5,Sunny,Medium ,2.0,1.0,No ,15,17075.594401072958,1115
27.0,5.0,Stormy,Jam ,0.0,0.0,No ,18,4470.286489434608,1235
35.0,4.3,Cloudy,Low ,1.0,0.0,No ,38,13682.044526080781,1400
32.0,4.0,Windy,Jam ,0.0,1.0,No ,47,13973.182653917394,1280
23.0,4.8,Windy,Low ,2.0,0.0,No ,12,16853.61872985359,1415
31.0,4.8,Sandstorms,Low ,2.0,1.0,No ,26,4674.172124263268,1355
